Accuracy Eksempelkode:
accuracy = tensor(0.9442)
accuracy = tensor(0.9620)
accuracy = tensor(0.9693)
accuracy = tensor(0.9736)
accuracy = tensor(0.9759)
accuracy = tensor(0.9776)
accuracy = tensor(0.9782)
accuracy = tensor(0.9790)
accuracy = tensor(0.9795)
accuracy = tensor(0.9802)
accuracy = tensor(0.9807)
accuracy = tensor(0.9806)
accuracy = tensor(0.9810)
accuracy = tensor(0.9807)
accuracy = tensor(0.9806)
accuracy = tensor(0.9794)
accuracy = tensor(0.9799)
accuracy = tensor(0.9801)
accuracy = tensor(0.9795)
accuracy = tensor(0.9791)

Accuracy Oppgave A:
accuracy = tensor(0.9801)
accuracy = tensor(0.9802)
accuracy = tensor(0.9858)
accuracy = tensor(0.9852)
accuracy = tensor(0.9820)
accuracy = tensor(0.9865)
accuracy = tensor(0.9863)
accuracy = tensor(0.9860)
accuracy = tensor(0.9848)
accuracy = tensor(0.9804)
accuracy = tensor(0.9790)
accuracy = tensor(0.9855)
accuracy = tensor(0.9855)

Accuracy Oppgave B
accuracy = tensor(0.9763)
accuracy = tensor(0.9819)
accuracy = tensor(0.9838)
accuracy = tensor(0.9847)
accuracy = tensor(0.9798)
accuracy = tensor(0.9823)
accuracy = tensor(0.9728)
accuracy = tensor(0.9774)
accuracy = tensor(0.9787)
accuracy = tensor(0.9820)
accuracy = tensor(0.9843)
accuracy = tensor(0.9817)
accuracy = tensor(0.9837)
accuracy = tensor(0.9829)
accuracy = tensor(0.9790)
accuracy = tensor(0.9780)
accuracy = tensor(0.9818)
accuracy = tensor(0.9810)
accuracy = tensor(0.9785)
accuracy = tensor(0.9791)

Accuracy Oppgave C:
accuracy = tensor(0.9715)
accuracy = tensor(0.9818)
accuracy = tensor(0.9834)
accuracy = tensor(0.9831)
accuracy = tensor(0.9836)
accuracy = tensor(0.9772)
accuracy = tensor(0.9826)
accuracy = tensor(0.9837)
accuracy = tensor(0.9840)
accuracy = tensor(0.9845)
accuracy = tensor(0.9827)
accuracy = tensor(0.9853)
accuracy = tensor(0.9848)
accuracy = tensor(0.9847)
accuracy = tensor(0.9806)
accuracy = tensor(0.9866)
accuracy = tensor(0.9805)
accuracy = tensor(0.9873)
accuracy = tensor(0.9808)
accuracy = tensor(0.9862)
